"","date","daily_vaccines"
"73","2023-10-25","[[0.00572],[0.004456],[0.001961],[0.005244],[0.00776]]"
"74","2023-10-26","[[0.005761],[0.004474],[0.001983],[0.005326],[0.007874]]"
"75","2023-10-27","[[0.005799],[0.00449],[0.002005],[0.005403],[0.007982]]"
"76","2023-10-28","[[0.005834],[0.004505],[0.002026],[0.005473],[0.008084]]"
"77","2023-10-29","[[0.005865],[0.004518],[0.002048],[0.005537],[0.008179]]"
"78","2023-10-30","[[0.005893],[0.004528],[0.002068],[0.005593],[0.008268]]"
"79","2023-10-31","[[0.005918],[0.004537],[0.002089],[0.005642],[0.008349]]"
"80","2023-11-01","[[0.00594],[0.004544],[0.002109],[0.005683],[0.008424]]"
"81","2023-11-02","[[0.005958],[0.004549],[0.002128],[0.005716],[0.00849]]"
"82","2023-11-03","[[0.005972],[0.004552],[0.002148],[0.005741],[0.008549]]"
"83","2023-11-04","[[0.005983],[0.004552],[0.002166],[0.005757],[0.0086]]"
"84","2023-11-05","[[0.005991],[0.004551],[0.002185],[0.005765],[0.008642]]"
"85","2023-11-06","[[0.005994],[0.004548],[0.002202],[0.005765],[0.008676]]"
"86","2023-11-07","[[0.005995],[0.004543],[0.00222],[0.005756],[0.008701]]"
"87","2023-11-08","[[0.005991],[0.004536],[0.002237],[0.005739],[0.008718]]"
"88","2023-11-09","[[0.005984],[0.004526],[0.002253],[0.005714],[0.008726]]"
"89","2023-11-10","[[0.005974],[0.004515],[0.002269],[0.00568],[0.008725]]"
"90","2023-11-11","[[0.00596],[0.004502],[0.002284],[0.005639],[0.008715]]"
"91","2023-11-12","[[0.005942],[0.004487],[0.002299],[0.005589],[0.008696]]"
"92","2023-11-13","[[0.005921],[0.00447],[0.002312],[0.005533],[0.008669]]"
"93","2023-11-14","[[0.005897],[0.004452],[0.002326],[0.005469],[0.008633]]"
"94","2023-11-15","[[0.005869],[0.004431],[0.002339],[0.005398],[0.008588]]"
"95","2023-11-16","[[0.005838],[0.004409],[0.002351],[0.005321],[0.008536]]"
"96","2023-11-17","[[0.005804],[0.004385],[0.002362],[0.005238],[0.008475]]"
"97","2023-11-18","[[0.005767],[0.004359],[0.002373],[0.00515],[0.008406]]"
"98","2023-11-19","[[0.005726],[0.004331],[0.002383],[0.005056],[0.00833]]"
"99","2023-11-20","[[0.005683],[0.004302],[0.002392],[0.004958],[0.008247]]"
"100","2023-11-21","[[0.005636],[0.004271],[0.002401],[0.004855],[0.008157]]"
"101","2023-11-22","[[0.005587],[0.004239],[0.002409],[0.004749],[0.00806]]"
"102","2023-11-23","[[0.005536],[0.004205],[0.002416],[0.004639],[0.007956]]"
"103","2023-11-24","[[0.005481],[0.00417],[0.002422],[0.004527],[0.007847]]"
"104","2023-11-25","[[0.005425],[0.004134],[0.002428],[0.004412],[0.007732]]"
"105","2023-11-26","[[0.005365],[0.004096],[0.002433],[0.004295],[0.007613]]"
"106","2023-11-27","[[0.005304],[0.004057],[0.002437],[0.004177],[0.007488]]"
"107","2023-11-28","[[0.005241],[0.004016],[0.002441],[0.004058],[0.007359]]"
"108","2023-11-29","[[0.005176],[0.003975],[0.002443],[0.003938],[0.007226]]"
"109","2023-11-30","[[0.005109],[0.003932],[0.002445],[0.003818],[0.00709]]"
"110","2023-12-01","[[0.00504],[0.003889],[0.002446],[0.003698],[0.00695]]"
"111","2023-12-02","[[0.004969],[0.003844],[0.002446],[0.003578],[0.006808]]"
